repo,pr_number,additions,deletions
"Skyscanner/databricks-config",837,7,0
"Skyscanner/databricks-tf",2942,19,4
"Skyscanner/databricks-tf",3007,1,0
"Skyscanner/databricks-tf",3025,1,0
"Skyscanner/databricks-tf",3033,1,0
"Skyscanner/databricks-tf",3138,2,0
"Skyscanner/databricks-tf",3140,1,1
"Skyscanner/databricks-tf",3247,1,1
"Skyscanner/databricks-tf",3248,1,1
"Skyscanner/hotel-price-ads",2,1853,308
"Skyscanner/hotel-price-ads",4,2,2
"Skyscanner/hotel-price-ads",5,422,0
"Skyscanner/hotel-price-ads",6,479,52
"Skyscanner/hotel-price-ads",7,2,2
"Skyscanner/hotel-price-ads",9,525,317
"Skyscanner/hotel-sem-feeds",42,8,0
"Skyscanner/hotel-sem-feeds-dag",29,1,0
"Skyscanner/hotel-sem-feeds-dag",30,1,0
"Skyscanner/in-house-internal-links-ingestion-batch",255,27,11
"Skyscanner/link-service",377,190,3
"Skyscanner/link-service-astro-dag",166,5,1
"Skyscanner/link-service-astro-dag",167,13,17
"Skyscanner/link-service-astro-dag",168,27,8
"Skyscanner/link-service-astro-dag",169,1,1
"Skyscanner/link-service-astro-dag",170,5,10
"Skyscanner/link-service-astro-dag",171,5,10
"Skyscanner/link-service-astro-dag",172,1,1
"Skyscanner/link-service-astro-dag",173,3,1
"Skyscanner/link-service-astro-dag",175,15,8
"Skyscanner/link-service-astro-dag",181,24,4
"Skyscanner/link-service-astro-dag",183,36,20
"Skyscanner/link-service-astro-dag",184,78,4
"Skyscanner/link-service-astro-dag",185,44,7
"Skyscanner/link-service-astro-dag",186,4,78
"Skyscanner/link-service-astro-dag",187,16,1
"Skyscanner/link-service-astro-dag",190,1,16
"Skyscanner/link-service-astro-dag",191,16,1
"Skyscanner/link-service-astro-dag",195,16,1
"Skyscanner/link-service-astro-dag",196,69,0
"Skyscanner/link-service-astro-dag",197,0,69
"Skyscanner/link-service-astro-dag",198,80,0
"Skyscanner/link-service-astro-dag",201,0,80
"Skyscanner/link-service-astro-dag",204,37,2
"Skyscanner/link-service-astro-dag",205,2,2
"Skyscanner/link-service-astro-dag",206,2,6
"Skyscanner/link-service-astro-dag",211,1,0
"Skyscanner/link-service-astro-dag",213,2,38
"Skyscanner/link-service-astro-dag",214,3,39
"Skyscanner/link-service-astro-dag",216,39,3
"Skyscanner/link-service-astro-dag",217,7,42
"Skyscanner/link-service-astro-dag",222,85,16
"Skyscanner/link-service-astro-dag",231,5,1
"Skyscanner/link-service-astro-dag",232,16,85
"Skyscanner/link-service-astro-dag",235,85,12
"Skyscanner/link-service-astro-dag",236,1,1
"Skyscanner/link-service-astro-dag",237,1,2
"Skyscanner/link-service-astro-dag",238,0,2
"Skyscanner/link-service-astro-dag",240,6,6
"Skyscanner/link-service-astro-dag",241,59,361
"Skyscanner/link-service-astro-dag",242,3,3
"Skyscanner/link-service-astro-dag",243,4,3
"Skyscanner/link-service-astro-dag",244,1,1
"Skyscanner/link-service-astro-dag",245,225,0
